Model,Patient_Position,Original_Row_Index,Spearman_Raw,Spearman_Normalised,Top_3_Overlap,Agreement_Score,SHAP_Stability,LIME_Stability,Average_Stability,Reliability_Score,Reliability_Level
Logistic Regression,0,44,0.880952380952381,0.9404761904761905,1.0,0.9702380952380952,0.9967261904761907,1.0,0.9983630952380953,0.9843005952380952,High
Logistic Regression,1,672,0.7857142857142858,0.8928571428571429,0.6666666666666666,0.7797619047619048,0.90625,1.0,0.953125,0.8664434523809523,High
Logistic Regression,2,700,0.7619047619047621,0.880952380952381,1.0,0.9404761904761905,0.84375,1.0,0.921875,0.9311755952380952,High
Logistic Regression,3,630,0.6190476190476191,0.8095238095238095,0.6666666666666666,0.7380952380952381,0.962202380952381,1.0,0.9811011904761905,0.8595982142857144,High
Logistic Regression,4,81,0.7380952380952381,0.8690476190476191,0.6666666666666666,0.7678571428571428,0.9979166666666668,0.9997023809523811,0.9988095238095239,0.8833333333333333,High
Logistic Regression,5,389,0.6904761904761906,0.8452380952380953,0.3333333333333333,0.5892857142857143,0.899404761904762,1.0,0.949702380952381,0.7694940476190477,Moderate
Logistic Regression,6,387,0.8095238095238096,0.9047619047619049,1.0,0.9523809523809524,0.9488095238095239,1.0,0.974404761904762,0.9633928571428572,High
Logistic Regression,7,408,0.9047619047619048,0.9523809523809523,0.6666666666666666,0.8095238095238095,0.9547619047619049,1.0,0.9773809523809525,0.893452380952381,High
Logistic Regression,8,163,0.8095238095238096,0.9047619047619049,0.6666666666666666,0.7857142857142858,0.9264880952380953,1.0,0.9632440476190476,0.8744791666666667,High
Logistic Regression,9,335,0.9523809523809524,0.9761904761904763,1.0,0.9880952380952381,0.9922619047619049,1.0,0.9961309523809525,0.9921130952380953,High
Logistic Regression,10,471,0.7380952380952381,0.8690476190476191,0.6666666666666666,0.7678571428571428,0.9139880952380952,1.0,0.9569940476190476,0.8624255952380953,High
Logistic Regression,11,78,0.6666666666666669,0.8333333333333335,0.6666666666666666,0.75,0.9458333333333332,1.0,0.9729166666666667,0.8614583333333333,High
Logistic Regression,12,307,0.9047619047619048,0.9523809523809523,1.0,0.9761904761904762,0.992559523809524,1.0,0.996279761904762,0.9862351190476191,High
Logistic Regression,13,392,0.8571428571428572,0.9285714285714286,1.0,0.9642857142857143,0.9535714285714286,1.0,0.9767857142857144,0.9705357142857143,High
Logistic Regression,14,678,0.6428571428571429,0.8214285714285714,0.3333333333333333,0.5773809523809523,0.9,1.0,0.95,0.7636904761904761,Moderate
Logistic Regression,15,116,0.9047619047619048,0.9523809523809523,0.6666666666666666,0.8095238095238095,0.9419642857142858,1.0,0.9709821428571429,0.8902529761904763,High
Logistic Regression,16,660,0.8571428571428572,0.9285714285714286,0.6666666666666666,0.7976190476190477,0.9910714285714285,1.0,0.9955357142857142,0.8965773809523809,High
Logistic Regression,17,742,0.880952380952381,0.9404761904761905,1.0,0.9702380952380952,0.9229166666666668,1.0,0.9614583333333334,0.9658482142857143,High
Logistic Regression,18,260,0.7857142857142858,0.8928571428571429,0.6666666666666666,0.7797619047619048,0.8854166666666666,1.0,0.9427083333333333,0.8612351190476191,High
Logistic Regression,19,533,0.6428571428571429,0.8214285714285714,0.6666666666666666,0.7440476190476191,0.9348214285714287,1.0,0.9674107142857143,0.8557291666666667,High
Logistic Regression,20,140,0.7619047619047621,0.880952380952381,0.6666666666666666,0.7738095238095238,0.9928571428571429,1.0,0.9964285714285714,0.8851190476190476,High
Logistic Regression,21,13,0.3571428571428572,0.6785714285714286,0.3333333333333333,0.5059523809523809,0.9952380952380955,0.9952380952380955,0.9952380952380955,0.7505952380952382,Moderate
Logistic Regression,22,17,0.8571428571428572,0.9285714285714286,1.0,0.9642857142857143,0.9163690476190478,1.0,0.9581845238095239,0.9612351190476192,High
Logistic Regression,23,245,0.8333333333333335,0.9166666666666667,0.6666666666666666,0.7916666666666667,0.9979166666666668,1.0,0.9989583333333334,0.8953125000000001,High
Logistic Regression,24,517,0.6904761904761906,0.8452380952380953,0.6666666666666666,0.7559523809523809,0.9005952380952381,1.0,0.9502976190476191,0.853125,High
Logistic Regression,25,62,0.9047619047619048,0.9523809523809523,0.6666666666666666,0.8095238095238095,0.941666666666667,1.0,0.9708333333333334,0.8901785714285715,High
Logistic Regression,26,480,0.7142857142857144,0.8571428571428572,0.6666666666666666,0.7619047619047619,0.979761904761905,1.0,0.9898809523809524,0.8758928571428571,High
Logistic Regression,27,629,0.5952380952380953,0.7976190476190477,0.6666666666666666,0.7321428571428572,0.9571428571428571,1.0,0.9785714285714285,0.8553571428571429,High
Logistic Regression,28,64,0.523809523809524,0.761904761904762,0.3333333333333333,0.5476190476190477,0.8782738095238095,1.0,0.9391369047619047,0.7433779761904762,Moderate
Logistic Regression,29,3,0.9047619047619048,0.9523809523809523,1.0,0.9761904761904762,0.9589285714285716,1.0,0.9794642857142858,0.977827380952381,High
Logistic Regression,30,158,0.9285714285714287,0.9642857142857144,0.6666666666666666,0.8154761904761905,0.9041666666666666,1.0,0.9520833333333333,0.8837797619047618,High
Logistic Regression,31,83,0.880952380952381,0.9404761904761905,1.0,0.9702380952380952,0.9916666666666669,1.0,0.9958333333333335,0.9830357142857143,High
Logistic Regression,32,437,0.7380952380952381,0.8690476190476191,1.0,0.9345238095238095,0.9211309523809523,1.0,0.9605654761904762,0.9475446428571428,High
Logistic Regression,33,153,0.8571428571428572,0.9285714285714286,1.0,0.9642857142857143,0.9752976190476191,1.0,0.9876488095238096,0.9759672619047619,High
Logistic Regression,34,469,0.9761904761904763,0.9880952380952381,1.0,0.9940476190476191,0.993154761904762,1.0,0.996577380952381,0.9953125,High
Logistic Regression,35,124,0.6666666666666669,0.8333333333333335,0.6666666666666666,0.75,0.8744047619047619,1.0,0.937202380952381,0.8436011904761904,High
Logistic Regression,36,305,0.8333333333333335,0.9166666666666667,0.6666666666666666,0.7916666666666667,0.9220238095238095,1.0,0.9610119047619048,0.8763392857142858,High
Logistic Regression,37,767,0.8095238095238096,0.9047619047619049,0.6666666666666666,0.7857142857142858,0.9797619047619047,1.0,0.9898809523809524,0.8877976190476191,High
Logistic Regression,38,746,0.7619047619047621,0.880952380952381,1.0,0.9404761904761905,0.979761904761905,1.0,0.9898809523809524,0.9651785714285714,High
Logistic Regression,39,345,0.7380952380952381,0.8690476190476191,0.6666666666666666,0.7678571428571428,0.9529761904761905,1.0,0.9764880952380952,0.872172619047619,High
Logistic Regression,40,745,0.7619047619047621,0.880952380952381,0.6666666666666666,0.7738095238095238,0.9815476190476191,1.0,0.9907738095238096,0.8822916666666667,High
Logistic Regression,41,596,0.9523809523809524,0.9761904761904763,1.0,0.9880952380952381,0.9994047619047619,1.0,0.999702380952381,0.9938988095238095,High
Logistic Regression,42,279,0.8095238095238096,0.9047619047619049,0.6666666666666666,0.7857142857142858,0.9125,1.0,0.95625,0.8709821428571429,High
Logistic Regression,43,264,0.023809523809523815,0.5119047619047619,0.3333333333333333,0.42261904761904756,0.7985119047619047,1.0,0.8992559523809524,0.6609375,Moderate
Logistic Regression,44,380,0.7380952380952381,0.8690476190476191,0.6666666666666666,0.7678571428571428,0.9514880952380953,1.0,0.9757440476190476,0.8718005952380952,High
Logistic Regression,45,560,0.5714285714285715,0.7857142857142858,0.3333333333333333,0.5595238095238095,0.9008928571428572,1.0,0.9504464285714286,0.7549851190476191,Moderate
Logistic Regression,46,276,0.9761904761904763,0.9880952380952381,1.0,0.9940476190476191,0.9922619047619049,1.0,0.9961309523809525,0.9950892857142858,High
Logistic Regression,47,501,0.9285714285714287,0.9642857142857144,0.6666666666666666,0.8154761904761905,0.93125,1.0,0.965625,0.8905505952380952,High
Logistic Regression,48,415,0.5952380952380953,0.7976190476190477,0.6666666666666666,0.7321428571428572,0.8824404761904763,1.0,0.9412202380952381,0.8366815476190477,High
Logistic Regression,49,535,0.19047619047619052,0.5952380952380952,0.3333333333333333,0.4642857142857143,0.9877976190476192,1.0,0.9938988095238096,0.729092261904762,Moderate
Logistic Regression,50,558,0.8333333333333335,0.9166666666666667,1.0,0.9583333333333334,0.9910714285714285,1.0,0.9955357142857142,0.9769345238095237,High
Logistic Regression,51,484,0.7380952380952381,0.8690476190476191,0.6666666666666666,0.7678571428571428,0.9952380952380955,1.0,0.9976190476190477,0.8827380952380952,High
Logistic Regression,52,428,0.8571428571428572,0.9285714285714286,1.0,0.9642857142857143,0.9979166666666668,1.0,0.9989583333333334,0.9816220238095239,High
Logistic Regression,53,89,0.9523809523809524,0.9761904761904763,1.0,0.9880952380952381,0.9461309523809526,1.0,0.9730654761904762,0.9805803571428572,High
Logistic Regression,54,756,0.2142857142857143,0.6071428571428572,0.6666666666666666,0.6369047619047619,0.9714285714285715,1.0,0.9857142857142858,0.8113095238095238,High
