Model,Patient_Position,Original_Row_Index,Spearman_Raw,Spearman_P_Value,Spearman_Normalised,Top_3_Overlap,Agreement_Score,SHAP_Top_Features,LIME_Top_Features,Agreement_Level
Logistic Regression,33,153,0.8571428571428572,0.006530017254715292,0.9285714285714286,1.0,0.9642857142857143,"Glucose, BMI, Pregnancies","Glucose, BMI, Pregnancies",High
Logistic Regression,34,469,0.9761904761904763,3.3143960262001043e-05,0.9880952380952381,1.0,0.9940476190476191,"Glucose, BMI, Pregnancies","Glucose, BMI, Pregnancies",High
Logistic Regression,35,124,0.6666666666666669,0.07098765432098751,0.8333333333333335,0.6666666666666666,0.75,"Pregnancies, Age, Glucose","Glucose, BMI, Pregnancies",Moderate
Logistic Regression,36,305,0.8333333333333335,0.01017554012345675,0.9166666666666667,0.6666666666666666,0.7916666666666667,"BMI, Pregnancies, DiabetesPedigreeFunction","Glucose, BMI, Pregnancies",Moderate
Logistic Regression,37,767,0.8095238095238096,0.014902667686230067,0.9047619047619049,0.6666666666666666,0.7857142857142858,"Glucose, Pregnancies, Age","Glucose, BMI, Pregnancies",Moderate
Logistic Regression,38,746,0.7619047619047621,0.028004939153071794,0.880952380952381,1.0,0.9404761904761905,"BMI, Glucose, Pregnancies","Glucose, BMI, Pregnancies",High
Logistic Regression,39,345,0.7380952380952381,0.03655276105286081,0.8690476190476191,0.6666666666666666,0.7678571428571428,"BMI, Pregnancies, Age","Glucose, BMI, Pregnancies",Moderate
Logistic Regression,40,745,0.7619047619047621,0.028004939153071794,0.880952380952381,0.6666666666666666,0.7738095238095238,"Pregnancies, Glucose, Age","Glucose, BMI, Pregnancies",Moderate
Logistic Regression,41,596,0.9523809523809524,0.00026040002438725105,0.9761904761904763,1.0,0.9880952380952381,"Glucose, BMI, Pregnancies","Glucose, BMI, Pregnancies",High
Logistic Regression,42,279,0.8095238095238096,0.014902667686230067,0.9047619047619049,0.6666666666666666,0.7857142857142858,"BMI, DiabetesPedigreeFunction, Glucose","Glucose, BMI, Pregnancies",Moderate
Logistic Regression,43,264,0.023809523809523815,0.9553740118158807,0.5119047619047619,0.3333333333333333,0.42261904761904756,"Glucose, DiabetesPedigreeFunction, SkinThickness","Glucose, BMI, Pregnancies",Low
Logistic Regression,44,380,0.7380952380952381,0.03655276105286081,0.8690476190476191,0.6666666666666666,0.7678571428571428,"DiabetesPedigreeFunction, Glucose, Pregnancies","Glucose, BMI, Pregnancies",Moderate
Logistic Regression,45,560,0.5714285714285715,0.1389599571607067,0.7857142857142858,0.3333333333333333,0.5595238095238095,"Age, DiabetesPedigreeFunction, Glucose","Glucose, BMI, Pregnancies",Low
Logistic Regression,46,276,0.9761904761904763,3.3143960262001043e-05,0.9880952380952381,1.0,0.9940476190476191,"BMI, Glucose, Pregnancies","Glucose, BMI, Pregnancies",High
Logistic Regression,47,501,0.9285714285714287,0.0008629681828999769,0.9642857142857144,0.6666666666666666,0.8154761904761905,"Glucose, BMI, DiabetesPedigreeFunction","Glucose, BMI, Pregnancies",High
Logistic Regression,48,415,0.5952380952380953,0.11952980613879262,0.7976190476190477,0.6666666666666666,0.7321428571428572,"Glucose, BMI, Insulin","Glucose, BMI, Pregnancies",Moderate
Logistic Regression,49,535,0.19047619047619052,0.6514014957024814,0.5952380952380952,0.3333333333333333,0.4642857142857143,"BloodPressure, Glucose, Age","Glucose, BMI, Pregnancies",Low
Logistic Regression,50,558,0.8333333333333335,0.01017554012345675,0.9166666666666667,1.0,0.9583333333333334,"BMI, Pregnancies, Glucose","Glucose, BMI, Pregnancies",High
Logistic Regression,51,484,0.7380952380952381,0.03655276105286081,0.8690476190476191,0.6666666666666666,0.7678571428571428,"BMI, Glucose, BloodPressure","Glucose, BMI, Pregnancies",Moderate
Logistic Regression,52,428,0.8571428571428572,0.006530017254715292,0.9285714285714286,1.0,0.9642857142857143,"BMI, Glucose, Pregnancies","Glucose, BMI, Pregnancies",High
Logistic Regression,53,89,0.9523809523809524,0.00026040002438725105,0.9761904761904763,1.0,0.9880952380952381,"BMI, Glucose, Pregnancies","Glucose, BMI, Pregnancies",High
Logistic Regression,54,756,0.2142857142857143,0.6103444156452669,0.6071428571428572,0.6666666666666666,0.6369047619047619,"Glucose, Pregnancies, BloodPressure","Glucose, BMI, Pregnancies",Moderate
Logistic Regression,55,531,0.9047619047619048,0.0020082755054294677,0.9523809523809523,1.0,0.9761904761904762,"BMI, Pregnancies, Glucose","Glucose, BMI, Pregnancies",High
Logistic Regression,56,712,0.6190476190476191,0.1017330374542646,0.8095238095238095,1.0,0.9047619047619048,"BMI, Pregnancies, Glucose","Glucose, BMI, Pregnancies",High
Logistic Regression,57,532,0.8333333333333335,0.01017554012345675,0.9166666666666667,0.6666666666666666,0.7916666666666667,"Glucose, BMI, DiabetesPedigreeFunction","Glucose, BMI, Pregnancies",Moderate
Logistic Regression,58,355,0.7142857142857144,0.04652823228416724,0.8571428571428572,0.6666666666666666,0.7619047619047619,"Glucose, Pregnancies, Age","Glucose, BMI, Pregnancies",Moderate
Logistic Regression,59,713,0.8333333333333335,0.01017554012345675,0.9166666666666667,1.0,0.9583333333333334,"Glucose, BMI, Pregnancies","Glucose, BMI, Pregnancies",High
Logistic Regression,60,440,0.6190476190476191,0.1017330374542646,0.8095238095238095,0.6666666666666666,0.7380952380952381,"Glucose, Pregnancies, BloodPressure","Glucose, BMI, Pregnancies",Moderate
Logistic Regression,61,311,0.8095238095238096,0.014902667686230067,0.9047619047619049,1.0,0.9523809523809524,"BMI, Pregnancies, Glucose","Glucose, BMI, Pregnancies",High
Logistic Regression,62,494,0.7142857142857144,0.04652823228416724,0.8571428571428572,0.6666666666666666,0.7619047619047619,"BMI, Glucose, BloodPressure","Glucose, BMI, Pregnancies",Moderate
Logistic Regression,63,235,0.4523809523809524,0.260404767436885,0.7261904761904762,0.6666666666666666,0.6964285714285714,"Glucose, BMI, Age","Glucose, BMI, Pregnancies",Moderate
Logistic Regression,64,650,0.9761904761904763,3.3143960262001043e-05,0.9880952380952381,1.0,0.9940476190476191,"Glucose, BMI, Pregnancies","Glucose, BMI, Pregnancies",High
Logistic Regression,65,724,0.4047619047619048,0.3198886412288162,0.7023809523809524,0.3333333333333333,0.5178571428571429,"Pregnancies, Age, BloodPressure","Glucose, BMI, Pregnancies",Low
Logistic Regression,66,332,0.8095238095238096,0.014902667686230067,0.9047619047619049,0.6666666666666666,0.7857142857142858,"Glucose, BMI, BloodPressure","Glucose, BMI, Pregnancies",Moderate
Logistic Regression,67,418,0.880952380952381,0.0038503204637324014,0.9404761904761905,1.0,0.9702380952380952,"BMI, Glucose, Pregnancies","Glucose, BMI, Pregnancies",High
Logistic Regression,68,410,0.9285714285714287,0.0008629681828999769,0.9642857142857144,0.6666666666666666,0.8154761904761905,"Glucose, BMI, DiabetesPedigreeFunction","Glucose, BMI, Pregnancies",High
Logistic Regression,69,743,0.7380952380952381,0.03655276105286081,0.8690476190476191,0.6666666666666666,0.7678571428571428,"Glucose, Pregnancies, DiabetesPedigreeFunction","Glucose, BMI, Pregnancies",Moderate
Logistic Regression,70,419,0.8333333333333335,0.01017554012345675,0.9166666666666667,0.6666666666666666,0.7916666666666667,"BMI, Glucose, DiabetesPedigreeFunction","Glucose, BMI, Pregnancies",Moderate
Logistic Regression,71,527,0.5714285714285715,0.1389599571607067,0.7857142857142858,0.3333333333333333,0.5595238095238095,"BMI, DiabetesPedigreeFunction, Age","Glucose, BMI, Pregnancies",Low
Logistic Regression,72,351,0.38095238095238104,0.3518125531175647,0.6904761904761905,0.3333333333333333,0.5119047619047619,"Glucose, DiabetesPedigreeFunction, BloodPressure","Glucose, BMI, Pregnancies",Low
Logistic Regression,73,618,0.5952380952380953,0.11952980613879262,0.7976190476190477,0.3333333333333333,0.5654761904761905,"DiabetesPedigreeFunction, Pregnancies, Age","Glucose, BMI, Pregnancies",Low
Logistic Regression,74,407,0.880952380952381,0.0038503204637324014,0.9404761904761905,1.0,0.9702380952380952,"BMI, Glucose, Pregnancies","Glucose, BMI, Pregnancies",High
Logistic Regression,75,243,0.38095238095238104,0.3518125531175647,0.6904761904761905,0.6666666666666666,0.6785714285714286,"DiabetesPedigreeFunction, BMI, Pregnancies","Glucose, BMI, Pregnancies",Moderate
Logistic Regression,76,190,0.6428571428571429,0.08555889101267318,0.8214285714285714,0.3333333333333333,0.5773809523809523,"BMI, Age, DiabetesPedigreeFunction","Glucose, BMI, Pregnancies",Low
Logistic Regression,77,187,0.4285714285714286,0.2894032248467901,0.7142857142857143,0.6666666666666666,0.6904761904761905,"DiabetesPedigreeFunction, Glucose, Pregnancies","Glucose, BMI, Pregnancies",Moderate
Logistic Regression,78,496,0.8571428571428572,0.006530017254715292,0.9285714285714286,0.6666666666666666,0.7976190476190477,"BMI, Glucose, DiabetesPedigreeFunction","Glucose, BMI, Pregnancies",Moderate
Logistic Regression,79,441,0.6904761904761906,0.057990318164572716,0.8452380952380953,0.6666666666666666,0.7559523809523809,"Glucose, Age, Pregnancies","Glucose, BMI, Pregnancies",Moderate
Logistic Regression,80,430,0.7380952380952381,0.03655276105286081,0.8690476190476191,0.6666666666666666,0.7678571428571428,"BMI, Glucose, BloodPressure","Glucose, BMI, Pregnancies",Moderate
Logistic Regression,81,698,0.5714285714285715,0.1389599571607067,0.7857142857142858,0.6666666666666666,0.7261904761904763,"Glucose, BMI, BloodPressure","Glucose, BMI, Pregnancies",Moderate
Logistic Regression,82,513,0.8571428571428572,0.006530017254715292,0.9285714285714286,0.6666666666666666,0.7976190476190477,"Glucose, BMI, Age","Glucose, BMI, Pregnancies",Moderate
Logistic Regression,83,304,0.9523809523809524,0.00026040002438725105,0.9761904761904763,0.6666666666666666,0.8214285714285714,"Glucose, BMI, DiabetesPedigreeFunction","Glucose, BMI, Pregnancies",High
Logistic Regression,84,82,0.880952380952381,0.0038503204637324014,0.9404761904761905,0.6666666666666666,0.8035714285714286,"Glucose, Pregnancies, DiabetesPedigreeFunction","Glucose, BMI, Pregnancies",High
Logistic Regression,85,563,0.9761904761904763,3.3143960262001043e-05,0.9880952380952381,1.0,0.9940476190476191,"Glucose, BMI, Pregnancies","Glucose, BMI, Pregnancies",High
Logistic Regression,86,722,0.880952380952381,0.0038503204637324014,0.9404761904761905,1.0,0.9702380952380952,"Glucose, Pregnancies, BMI","Glucose, BMI, Pregnancies",High
Logistic Regression,87,199,0.4047619047619048,0.3198886412288162,0.7023809523809524,0.3333333333333333,0.5178571428571429,"Glucose, DiabetesPedigreeFunction, Insulin","Glucose, BMI, Pregnancies",Low
